ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
1,Tools,,Iron Pickaxe,No,1,,,,,,,,,
2,Blocks,,Dirt Block,No,100,,Category,Total Items,Chests Needed,# Collected,% Collected,,Info:,No
3,Blocks,,Stone Block,No,100,,Total,6084,153,0,0.00%, 6083 items for console ,Made By CookiestMonster,
4,Weapons,,Iron Broadsword,No,1,,Accessories,265,7,0,0.00%,,Current to Terraria version 1.4.4.9,
5,Plants,,Mushroom,No,30,,Armor,253,7,0,0.00%,,Check list last updated: 05/02/2025,
6,Weapons,,Iron Shortsword,No,1,,Banners (Decorative),24,1,0,0.00%,,Huge thanks to the Official Terraria Wiki for the list of items & images. As well as,
7,Tools,,Iron Hammer,No,1,,Banners (Enemy),178,5,0,0.00%,,u/Mewitti for making the original list. which was later updated by u/Crusader_1567 ,
8,Lighting,,Torch,No,100,,Banners (Event),109,3,0,0.00%,,"I have further updated it to include all unobtainable, removed, and re-implemented items.",
9,Blocks,,Wood,No,100,,Blocks,244,7,0,0.00%,,,
10,Tools,,Iron Axe,No,1,,Chests/Crates,102,3,0,0.00%,,"The name ""Princess Dresses"" appears twice (one is from Clothier, one is from Goodie Bag) they are different spirtes",
11,Ore/Bars/Gems,,Iron Ore,No,100,,Christmas,39,1,0,0.00%,,"The name “Seaweed” appears twice, but they are different items (one is junk, one is a pet)",
12,Ore/Bars/Gems,,Copper Ore,No,100,,Crafting,101,3,0,0.00%,,"The name “Strange Plant” appears four times in a row, each being a different color.",
13,Ore/Bars/Gems,,Gold Ore,No,100,,Crafting Stations,40,1,0,0.00%,,"The name “Deathweed Planter Box” appears twice, with one is crimson and corruption only",
14,Ore/Bars/Gems,,Silver Ore,No,100,,Critters,189,5,0,0.00%,,"The name ""Constellation"" appears twice one as a painting and the other is a Weapon Summoner Whip ",
15,Accessories,,Copper Watch,No,1,,Dyes,132,4,0,0.00%,,Flairon has been changed to Flairoon which is a new item that replace the old item but they added a new item that is the old item with the name Flairon in 1.4.5,
16,Accessories,,Silver Watch,No,1,,Fish,73,2,0,0.00%,,Desktop 1.4.5.4: Renamed This is Canon Now painting to Brasilian Skies.,
17,Accessories,,Gold Watch,No,1,,Food,86,3,0,0.00%,,Item States are items that I wouldn’t really consider true items they are simply closed or inactive versions of already existing items.,
18,Accessories,,Depth Meter,No,1,,Furniture (Other),123,4,0,0.00%,,"the Carrot is missing entirely from the Console version Carrot cannot be researched without having bought the Collector's Edition, making it impossible for most ",
19,Ore/Bars/Gems,,Gold Bar,No,25,,Furniture (Sets),855,22,0,0.00%,,"players to research every obtainable item, as the Collector's Edition is no longer being sold.",
20,Ore/Bars/Gems,,Copper Bar,No,25,,Golf,43,2,0,0.00%,,"1.4.4 reimplemented Pixel Box, Mini Star Cell Banner.",
21,Ore/Bars/Gems,,Silver Bar,No,25,,Item States,20,1,0,0.00%,,"As of 1.4.5 all items are 9999 max stack apart from 4 items Copper, Sliver, Gold Coin and coal ",
22,Ore/Bars/Gems,,Iron Bar,No,25,,Keys/Boss Summons,35,1,0,0.00%,,Total Obtainable Items 6084 (Console 6083) Unobtainable 6144,
23,Crafting,,Gel,No,99,,Kites,24,1,0,0.00%,,,
24,Weapons,,Wooden Sword,No,1,,Lighting,396,10,0,0.00%,,,
25,Furniture (Sets),,Wooden Door,No,1,,Mechanisms,159,4,0,0.00%,,,
26,Walls/Wallpaper,,Stone Wall,No,400,,Minecarts,24,1,0,0.00%,,,
27,Plants,,Acorn,No,50,,Miscellaneous,86,3,0,0.00%,,,
